,indicID,indicName,nameEN,dyCD,parentID,isList,frequency,unit,statType,accuracy,region,country,currency,importance,infoSource,memoCN,dataApiID,dataApiName,beginDate,endDate,isUpdate
10,1010000014,GDP:现价:第三产业:金融业:累计值,GDP: at Current Prices: Financial Intermediation: Cumulative,M010000014,M010000003,0,季,亿元,累计值,2,全国,中国,人民币元,比较重要,国家统计局,金融业增加值是指按市场价格计算的一个国家(或地区)所有常住单位在一定时期内从事金融业生产活动的最终成果。,2975,getEcoDataChina,1952-12-31,2021-12-31,1
11,1010000015,GDP:现价:第三产业:房地产业:累计值,GDP: at Current Prices: Real Estate: Cumulative,M010000015,M010000003,0,季,亿元,累计值,2,全国,中国,人民币元,比较重要,国家统计局,房地产业增加值是指按市场价格计算的一个国家(或地区)所有常住单位在一定时期内从事房地产业生产活动的最终成果。,2975,getEcoDataChina,1952-12-31,2021-12-31,1
12,1010000016,GDP:现价:第三产业:其他服务业:累计值,GDP: at Current Prices: other Services: Cumulative,M010000016,M010000003,0,季,亿元,累计值,2,全国,中国,人民币元,比较重要,国家统计局,其他行业增加值是指按市场价格计算的一个国家(或地区)所有常住单位在一定时期内从事其他行业生产活动的最终成果。,2975,getEcoDataChina,1952-12-31,2021-12-31,1
13,1010000017,GDP:不变价:累计同比,GDP: at Constant Prices: Cumulative YoY,M010000017,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,"按可比价格计算。2009年-2013年数据根据第三次全国经济普查结果修订,2005年-2009年数据根据第二次全国经济普查结果修订,1992-2004年数据根据《中国季度国内生产总值核算历史资料1992-2005》公布数据修正。",2975,getEcoDataChina,1953-12-31,2021-12-31,1
14,1010000018,GDP:不变价:第一产业:累计同比,GDP: at Constant Prices: Primary Industry: Cumulative YoY,M010000018,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1953-12-31,2021-12-31,1
15,1010000019,GDP:不变价:第一产业:农林牧渔业:累计同比,GDP: at Constant Prices:Agriculture、Forestry、AnimalHusbandry and Fishery: Cumulative YoY,M010000019,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1953-12-31,2021-12-31,1
16,1010000020,GDP:不变价:第二产业:累计同比,GDP: at Constant Prices: Secondary Industry: Cumulative YoY,M010000020,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1953-12-31,2021-12-31,1
17,1010000021,GDP:不变价:第二产业:工业:累计同比,GDP: at Constant Prices: Industry: Cumulative YoY,M010000021,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1953-12-31,2021-12-31,1
18,1010000022,GDP:不变价:第二产业:建筑业:累计同比,GDP: at Constant Prices: Construction: Cumulative YoY,M010000022,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1953-12-31,2021-12-31,1
19,1010000023,GDP:不变价:第三产业:累计同比,GDP: at Constant Prices: Tertiary Industry: Cumulative YoY,M010000023,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1953-12-31,2021-12-31,1
20,1010000024,GDP:不变价:第三产业:交通运输、仓储和邮政业:累计同比,GDP: at Constant Prices:Transport、Storageand Post: Cumulative YoY,M010000024,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1953-12-31,2021-12-31,1
